1999,0
2000,0
2001,6
2002,10
2003,8
2004,11
2005,8
2006,12
2007,18
2008,14
2009,10
2010,11
2011,13
2012,15
2013,8
2014,12
2015,7
2016,16
2017,11
2018,11
